title,director_name,duration,gross,num_voted_users,movie_imdb_link,num_user_for_reviews,budget,title_year,imdb_score,aspect_ratio,movie_fb_likes
Toy Story 3,Lee Unkrich,103,414984497,544884,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,733,200000000,2010,8.3,1.85,30000
Terminator Salvation,McG,118,125320003,286095,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,974,200000000,2009,6.6,2.35,0
Furious 7,James Wan,140,350034110,278232,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,657,190000000,2015,7.2,2.35,94000
World War Z,Marc Forster,123,202351611,465019,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,995,190000000,2013,7,2.35,129000
X-Men: Days of Future Past,Bryan Singer,149,233914986,514125,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,752,200000000,2014,8,2.35,82000
Star Trek Into Darkness,J.J. Abrams,132,228756232,395573,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,1171,190000000,2013,7.8,2.35,92000
Jack the Giant Slayer,Bryan Singer,114,65171860,106416,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,205,195000000,2013,6.3,2.35,22000
The Great Gatsby,Baz Luhrmann,143,144812796,362912,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,753,105000000,2013,7.3,2.35,115000
Prince of Persia: The Sands of Time,Mike Newell,116,90755643,222403,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,453,200000000,2010,6.6,2.35,23000
Pacific Rim,Guillermo del Toro,131,101785482,381148,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,1106,190000000,2013,7,1.85,83000
Transformers: Dark of the Moon,Michael Bay,154,352358779,326180,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,899,195000000,2011,6.3,2.35,46000
Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,122,317011114,333847,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,2054,185000000,2008,6.2,2.35,5000
The Good Dinosaur,Peter Sohn,93,123070338,62836,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,345,,2015,6.8,2.35,20000
Brave,Mark Andrews,93,237282182,273556,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,428,185000000,2012,7.2,2.35,39000
Star Trek Beyond,Justin Lin,122,130468626,53607,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,432,185000000,2016,7.5,2.35,30000
WALL·E,Andrew Stanton,98,223806889,718837,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,1043,180000000,2008,8.4,2.35,16000
Rush Hour 3,Brett Ratner,91,140080850,121084,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,221,140000000,2007,6.2,2.35,0
2012,Roland Emmerich,158,166112167,283418,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1055,200000000,2009,5.8,2.35,13000
A Christmas Carol,Robert Zemeckis,96,137850096,72809,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,249,200000000,2009,6.8,2.35,0
Jupiter Ascending,Lana Wachowski,127,47375327,139593,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,720,176000000,2015,5.4,2.35,44000
The Legend of Tarzan,David Yates,110,124051759,42372,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239,180000000,2016,6.6,2.35,29000
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,150,291709845,286506,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,1463,180000000,2005,6.9,2.35,0
X-Men: Apocalypse,Bryan Singer,144,154985087,148379,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,622,178000000,2016,7.3,2.35,54000
The Dark Knight,Christopher Nolan,152,533316061,1676169,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,4667,185000000,2008,9,2.35,37000
Up,Pete Docter,96,292979556,665575,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,704,175000000,2009,8.3,1.85,27000
Monsters vs. Aliens,Rob Letterman,94,198332128,114553,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,187,175000000,2009,6.5,2.35,0
Iron Man,Jon Favreau,126,318298180,696338,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,1055,140000000,2008,7.9,2.35,10000
Hugo,Martin Scorsese,126,73820094,245333,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,678,170000000,2011,7.5,1.85,42000
Wild Wild West,Barry Sonnenfeld,106,113745408,129601,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,648,170000000,1999,4.8,1.85,0
The Mummy: Tomb of the Dragon Emperor,Rob Cohen,112,102176165,117927,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,501,145000000,2008,5.2,2.35,0
Suicide Squad,David Ayer,123,161087183,118992,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,971,175000000,2016,6.9,2.35,80000
Evan Almighty,Tom Shadyac,96,100289690,115099,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,257,175000000,2007,5.4,2.35,2000
Edge of Tomorrow,Doug Liman,113,100189501,431620,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,741,178000000,2014,7.9,2.35,77000
Waterworld,Kevin Reynolds,176,88246220,144337,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,309,175000000,1995,6.1,1.85,0
G.I. Joe: The Rise of Cobra,Stephen Sommers,118,150167630,174578,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,534,175000000,2009,5.8,2.35,0
Inside Out,Pete Docter,95,356454367,345198,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,773,175000000,2015,8.3,1.85,118000
The Jungle Book,Jon Favreau,106,362645141,106072,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,398,175000000,2016,7.8,1.85,65000
Iron Man 2,Jon Favreau,124,312057433,522371,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,723,200000000,2010,7,2.35,18000
Snow White and the Huntsman,Rupert Sanders,132,155111815,228554,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,710,170000000,2012,6.1,2.35,53000
Maleficent,Robert Stromberg,97,241407328,252257,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,634,180000000,2014,7,2.35,89000
Dawn of the Planet of the Apes,Matt Reeves,130,208543795,317542,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,620,170000000,2014,7.6,1.85,45000
The Lovers,Roland Joffé,109,,2138,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,15,,2015,4.5,,677
47 Ronin,Carl Rinsch,128,38297305,116994,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,324,175000000,2013,6.3,2.35,35000
Captain America: The Winter Soldier,Anthony Russo,136,259746958,496749,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,742,170000000,2014,7.8,2.35,55000
Shrek Forever After,Mike Mitchell,93,238371987,138661,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,173,165000000,2010,6.4,2.35,0
Tomorrowland,Brad Bird,130,93417865,128306,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,497,190000000,2015,6.5,2.2,37000
Big Hero 6,Don Hall,102,222487711,279093,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,433,165000000,2014,7.9,2.39,41000
Wreck-It Ralph,Rich Moore,101,189412677,272534,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,345,165000000,2012,7.8,2.35,40000
The Polar Express,Robert Zemeckis,100,665426,120798,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,444,165000000,2004,6.6,2.35,10000
Independence Day: Resurgence,Roland Emmerich,120,102315545,58137,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,520,165000000,2016,5.5,2.35,67000
How to Train Your Dragon,Dean DeBlois,98,217387997,485430,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1,492,165000000,2010,8.2,2.35,33000
Terminator 3: Rise of the Machines,Jonathan Mostow,109,150350192,305340,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,1676,200000000,2003,6.4,2.35,0
Guardians of the Galaxy,James Gunn,121,333130696,682155,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,1097,170000000,2014,8.1,2.35,96000
Interstellar,Christopher Nolan,169,187991439,928227,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,2725,165000000,2014,8.6,2.35,349000
Inception,Christopher Nolan,148,292568851,1468200,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,2803,160000000,2010,8.8,2.35,175000
Godzilla Resurgence,Hideaki Anno,120,,374,http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1,13,,2016,8.2,2.35,0
The Hobbit: An Unexpected Journey,Peter Jackson,182,303001229,637246,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1,1367,180000000,2012,7.9,2.35,166000
The Fast and the Furious,Rob Cohen,106,144512310,272223,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,988,38000000,2001,6.7,2.35,14000
The Curious Case of Benjamin Button,David Fincher,166,127490802,459346,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1,822,150000000,2008,7.8,2.35,23000
X-Men: First Class,Matthew Vaughn,132,146405371,518537,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,698,160000000,2011,7.8,2.35,54000
The Hunger Games: Mockingjay - Part 2,Francis Lawrence,137,281666058,166137,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1,383,160000000,2015,6.6,2.35,38000
The Sorcerer's Apprentice,Jon Turteltaub,109,63143812,124185,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1,238,150000000,2010,6.1,2.35,11000
Poseidon,Wolfgang Petersen,98,60655503,82380,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1,629,160000000,2006,5.6,2.35,0
Alice Through the Looking Glass,James Bobin,113,76846624,21352,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,131,170000000,2016,6.4,1.85,30000
Shrek the Third,Chris Miller,93,320706665,211971,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1,326,160000000,2007,6.1,1.85,0
Warcraft,Duncan Jones,123,46978995,111609,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1,781,160000000,2016,7.3,2.35,89000
Terminator Genisys,Alan Taylor,126,89732035,188457,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1,867,155000000,2015,6.6,2.35,82000
The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,113,104383624,106446,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1,227,155000000,2010,6.3,1.78,11000
Pearl Harbor,Michael Bay,184,198539855,254111,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1,1999,140000000,2001,6.1,2.35,0
Transformers,Michael Bay,144,318759914,513158,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1,1782,150000000,2007,7.1,2.35,8000
Alexander,Oliver Stone,206,34293771,138863,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,1390,155000000,2004,5.5,2.35,0
Harry Potter and the Order of the Phoenix,David Yates,138,292000866,355137,http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1,1108,150000000,2007,7.5,2.35,0
Harry Potter and the Goblet of Fire,Mike Newell,157,289994397,385670,http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1,1896,150000000,2005,7.6,2.35,0
Hancock,Peter Berg,102,227946274,343648,http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1,590,150000000,2008,6.4,2.35,0
I Am Legend,Francis Lawrence,104,256386216,530870,http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1,1413,150000000,2007,7.2,2.35,11000
Charlie and the Chocolate Factory,Tim Burton,115,206456431,320284,http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1,1361,150000000,2005,6.7,1.85,0
Ratatouille,Brad Bird,111,206435493,473887,http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1,626,150000000,2007,8,2.35,10000
Batman Begins,Christopher Nolan,128,205343774,980946,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1,2685,150000000,2005,8.3,2.35,15000
Madagascar: Escape 2 Africa,Eric Darnell,89,179982968,146019,http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1,119,150000000,2008,6.7,1.85,0
Night at the Museum: Battle of the Smithsonian,Shawn Levy,105,177243721,130272,http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1,209,150000000,2009,5.9,2.35,2000
X-Men Origins: Wolverine,Gavin Hood,119,179883016,361924,http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1,641,150000000,2009,6.7,2.35,0
The Matrix Revolutions,Lana Wachowski,129,139259759,364948,http://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1,2121,150000000,2003,6.7,2.35,0
Frozen,Chris Buck,102,400736600,421658,http://www.imdb.com/title/tt2294629/?ref_=fn_tt_tt_1,904,150000000,2013,7.6,2.24,58000
The Matrix Reloaded,Lana Wachowski,138,281492479,421818,http://www.imdb.com/title/tt0234215/?ref_=fn_tt_tt_1,2789,150000000,2003,7.2,2.35,0
Thor: The Dark World,Alan Taylor,112,206360018,414070,http://www.imdb.com/title/tt1981115/?ref_=fn_tt_tt_1,532,170000000,2013,7.1,2.35,63000
Mad Max: Fury Road,George Miller,120,153629485,552503,http://www.imdb.com/title/tt1392190/?ref_=fn_tt_tt_1,1588,150000000,2015,8.1,2.35,191000
Angels & Demons,Ron Howard,146,133375846,207839,http://www.imdb.com/title/tt0808151/?ref_=fn_tt_tt_1,435,150000000,2009,6.7,2.35,0
Thor,Kenneth Branagh,115,181015141,536314,http://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1,738,150000000,2011,7,2.35,63000
Bolt,Byron Howard,96,114053579,146766,http://www.imdb.com/title/tt0397892/?ref_=fn_tt_tt_1,178,150000000,2008,6.9,1.85,0
G-Force,Hoyt Yeatman,88,119420252,33042,http://www.imdb.com/title/tt0436339/?ref_=fn_tt_tt_1,90,150000000,2009,5.1,2.35,0
Wrath of the Titans,Jonathan Liebesman,99,83640426,152826,http://www.imdb.com/title/tt1646987/?ref_=fn_tt_tt_1,253,150000000,2012,5.8,1.85,19000
Dark Shadows,Tim Burton,113,79711678,199039,http://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1,479,100000000,2012,6.2,1.85,82000
Mission: Impossible - Rogue Nation,Christopher McQuarrie,131,195000874,232187,http://www.imdb.com/title/tt2381249/?ref_=fn_tt_tt_1,440,150000000,2015,7.4,2.35,47000
The Wolfman,Joe Johnston,119,61937495,89442,http://www.imdb.com/title/tt0780653/?ref_=fn_tt_tt_1,432,150000000,2010,5.8,1.85,0
The Legend of Tarzan,David Yates,110,124051759,42372,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239,180000000,2016,6.6,2.35,29000
Bee Movie,Steve Hickner,91,126597121,105902,http://www.imdb.com/title/tt0389790/?ref_=fn_tt_tt_1,206,150000000,2007,6.2,1.85,0
Kung Fu Panda 2,Jennifer Yuh Nelson,90,165230261,182718,http://www.imdb.com/title/tt1302011/?ref_=fn_tt_tt_1,209,150000000,2011,7.3,2.35,20000
The Last Airbender,M. Night Shyamalan,103,131564731,118951,http://www.imdb.com/title/tt0938283/?ref_=fn_tt_tt_1,1382,150000000,2010,4.2,2.35,18000
Mission: Impossible III,J.J. Abrams,124,133382309,256695,http://www.imdb.com/title/tt0317919/?ref_=fn_tt_tt_1,871,150000000,2006,6.9,2.35,0
White House Down,Roland Emmerich,131,73103784,164238,http://www.imdb.com/title/tt2334879/?ref_=fn_tt_tt_1,434,150000000,2013,6.4,2.35,33000
Mars Needs Moms,Simon Wells,88,21379315,17590,http://www.imdb.com/title/tt1305591/?ref_=fn_tt_tt_1,112,150000000,2011,5.4,2.35,0
Flushed Away,David Bowers,85,64459316,85086,http://www.imdb.com/title/tt0424095/?ref_=fn_tt_tt_1,122,149000000,2006,6.7,1.85,0
Pan,Joe Wright,111,34964818,39956,http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1,186,150000000,2015,5.8,2.35,24000
Mr. Peabody & Sherman,Rob Minkoff,92,111505642,47900,http://www.imdb.com/title/tt0864835/?ref_=fn_tt_tt_1,130,145000000,2014,6.9,1.85,11000
Troy,Wolfgang Petersen,196,133228348,381672,http://www.imdb.com/title/tt0332452/?ref_=fn_tt_tt_1,1694,175000000,2004,7.2,2.35,0
Madagascar 3: Europe's Most Wanted,Eric Darnell,93,216366733,119213,http://www.imdb.com/title/tt1277953/?ref_=fn_tt_tt_1,154,145000000,2012,6.9,1.85,17000
Die Another Day,Lee Tamahori,133,160201106,169914,http://www.imdb.com/title/tt0246460/?ref_=fn_tt_tt_1,1185,142000000,2002,6.1,2.35,0
Ghostbusters,Paul Feig,116,118099659,69757,http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1,1211,144000000,2016,5.5,2.35,62000
Armageddon,Michael Bay,153,201573391,322395,http://www.imdb.com/title/tt0120591/?ref_=fn_tt_tt_1,1171,140000000,1998,6.6,2.35,11000
Men in Black II,Barry Sonnenfeld,88,190418803,270207,http://www.imdb.com/title/tt0120912/?ref_=fn_tt_tt_1,606,140000000,2002,6.1,1.85,2000
Beowulf,Robert Zemeckis,115,82161969,142440,http://www.imdb.com/title/tt0442933/?ref_=fn_tt_tt_1,505,150000000,2007,6.3,2.35,3000
Kung Fu Panda 3,Alessandro Carloni,95,143523463,64322,http://www.imdb.com/title/tt2267968/?ref_=fn_tt_tt_1,145,145000000,2016,7.2,2.35,24000
Mission: Impossible - Ghost Protocol,Brad Bird,133,209364921,365104,http://www.imdb.com/title/tt1229238/?ref_=fn_tt_tt_1,512,145000000,2011,7.4,2.35,35000
Rise of the Guardians,Peter Ramsey,97,103400692,123553,http://www.imdb.com/title/tt1446192/?ref_=fn_tt_tt_1,174,145000000,2012,7.3,1.85,25000
Fun with Dick and Jane,Dean Parisot,90,110332737,110788,http://www.imdb.com/title/tt0369441/?ref_=fn_tt_tt_1,258,100000000,2005,6.1,2.35,2000
The Last Samurai,Edward Zwick,154,111110575,317166,http://www.imdb.com/title/tt0325710/?ref_=fn_tt_tt_1,928,140000000,2003,7.7,2.35,0
Exodus: Gods and Kings,Ridley Scott,150,65007045,128682,http://www.imdb.com/title/tt1528100/?ref_=fn_tt_tt_1,657,140000000,2014,6.1,2.35,51000
Star Trek,J.J. Abrams,127,257704099,504419,http://www.imdb.com/title/tt0796366/?ref_=fn_tt_tt_1,1559,150000000,2009,8,2.35,19000
Spider-Man,Sam Raimi,121,403706375,544665,http://www.imdb.com/title/tt0145487/?ref_=fn_tt_tt_1,2012,139000000,2002,7.3,1.85,5000
How to Train Your Dragon 2,Dean DeBlois,102,176997107,221128,http://www.imdb.com/title/tt1646971/?ref_=fn_tt_tt_1,343,145000000,2014,7.9,2.35,46000
Gods of Egypt,Alex Proyas,126,31141074,51892,http://www.imdb.com/title/tt2404233/?ref_=fn_tt_tt_1,273,140000000,2016,5.5,2.35,24000
Stealth,Rob Cohen,121,31704416,45455,http://www.imdb.com/title/tt0382992/?ref_=fn_tt_tt_1,388,135000000,2005,5,2.35,0
Watchmen,Zack Snyder,215,107503316,392474,http://www.imdb.com/title/tt0409459/?ref_=fn_tt_tt_1,1229,130000000,2009,7.7,2.35,18000
Lethal Weapon 4,Richard Donner,127,129734803,127497,http://www.imdb.com/title/tt0122151/?ref_=fn_tt_tt_1,287,140000000,1998,6.6,2.35,0
Hulk,Ang Lee,138,132122995,212106,http://www.imdb.com/title/tt0286716/?ref_=fn_tt_tt_1,1445,137000000,2003,5.7,1.85,0
G.I. Joe: Retaliation,Jon M. Chu,122,122512052,146352,http://www.imdb.com/title/tt1583421/?ref_=fn_tt_tt_1,288,130000000,2013,5.8,2.35,42000
Sahara,Breck Eisner,124,68642452,77673,http://www.imdb.com/title/tt0318649/?ref_=fn_tt_tt_1,463,130000000,2005,6,2.35,0
Final Fantasy: The Spirits Within,Hironobu Sakaguchi,106,32131830,72259,http://www.imdb.com/title/tt0173840/?ref_=fn_tt_tt_1,788,137000000,2001,6.4,1.85,0
